request_id,request,reference,reference_created
2113,Fais la liste des premiers ministres sous le président Macron,"A ce jour, les Premiers ministres ayant servi sous la présidence d'Emmanuel Macron sont: Édouard Philippe, Jean Castex, Élisabeth Borne, Gabriel Attal, Michel Barnier, François Bayrou. N'ayant pas accès aux données les plus récentes, la liste n'est peut-être pas complète",1
514,y a t il des cultures de safran en france?,"Oui, on trouve des safraniers dans une quarantaine de départements français, avec une production significative dans le Loiret (safran du Gâtinais), le Lot (safran du Quercy) et dans la Creuse.",1
323,Que signifie l'expression beau comme une girafe ?,"L'expression ""beau comme une girafe"" n'est pas une expression connue de la langue française.",1
325,détaillez le format ISO 8601,"La norme ISO 8601 est une norme de l'Organisation internationale de normalisation (ISO) qui spécifie la représentation numérique de la date et de l'heure, respectivement basées sur le calendrier grégorien et le système horaire sur 24 heures. Cette notation, créée en 1988, est destinée à éviter toute confusion dans les communications internationales due au grand nombre de notations nationales différentes.
La représentation de la date et de l'heure est effectuée comme suit, si l'on souhaite être le plus précis possible :
AAAA-MM-JJTHH:MM:SS,ss-/+FF:ff
« AAAA » représente l'année sur quatre chiffres (par exemple : 1959) ;
« MM » représente le mois sur deux chiffres (par exemple : 12 pour décembre) ;
« JJ » représente le jour du mois sur deux chiffres (par exemple : 25 pour le 25e jour du mois) ;
« T » pour time permet de séparer les indications de date (à gauche) et d'heure (à droite) ;
« HH » représente l'heure en système 24 heures (par exemple : 15) ;
« MM » représente les minutes (par exemple : 20) ;
« SS » représente les secondes (par exemple : 49) ;
« ss » représente les fractions de seconde sur autant d'unités que nécessaire (par exemple : 3342) ;
« -/+» représente le fuseau horaire, où « + » permet d'indiquer un fuseau en avance sur UTC et « - » permet d'indiquer un fuseau en retard sur UTC ;
« FF » représente le nombre d'heures d'avance ou de retard sur le fuseau horaire UTC ;
« ff » représente le nombre de minutes d'avance ou de retard sur le fuseau horaire UTC.",1
677,"bonjour, comment s'appelle la mère de francois mitterand",La mère de François Mitterand s'appelait Yvonne Lorrain.,1
2121,"Donne moi une phrase qui a du sens, de 3 mots, dont chaque mots a le nombre de lettres de chaque chiffre du nombre 234, dans l’ordre","La phrase ""Il est mort"" correspond à ces contraintes.",1
557,Combien de communes comporte la Métropole de Grenoble,49 communes. Grenoble Alpes Métropole regroupe 49 villes et villages situés en Isère (38).,1
2158,qui a le meilleur son entre le vynil et le cd,"On ne peut pas réellement affirmer que les CD ont un meilleur son que les vinyles ou inversement. Cependant le son des vinyles est plus proche du son original, et intègre des petites impuretés comme du grésillement. La plage dynamique du CD est nettement supérieur à celle du disque microsillon (100 décibels contre 60).",1
2159,Quel est le poste actuel de François Bayrou ?,"François Bayrou est un homme d'État français, et occupe aujourd'hui le poste de Premier ministre depuis le 13 décembre 2024. N'ayant pas accès aux données les plus récentes, l'information est peut être aujourd'hui obsolète.",1
3185,Combien de « r » dans « strawberry »,"La lettre """"r"""" est présente trois fois dans le mot «strawberry».",1
2773,Quels sont les numéros des épisodes de la partie 3 de la saison 6 de cobra Kai ?,"Les épisodes de la partie 3 de la saison 6 de la série Cobra Kai, sortie le 13 février 2025 sur Netflix, sont:
11. L'épreuve du feu (Into the fire)
12. Sonnés (Rattled)
13. Tous ces squelettes (Skeletons)
14. Frappe le dernier (Strike Last)
15. L'ancien roi des tarés (Ex-Degenerate)",1
2775,"est-ce que le revenu de solidarité active (RSA) est rétroactif ?
",X,1
2776,Combien y a-t-il de livres sur fondation répond en quelques mots ?,Le cycle de Fondation écrit par Isaac Asimov regroupe 7 oeuvres.,1
2170,Quel est le plus grand nombre entre 3.9 et 3.11,Le plus grand de ces deux nombres est 3.9,1
316,Est-ce qu'il y a de la neige dans les Vosges ?,"Je ne suis pas en mesure de vous donner la météo en direct, mais la région des Vosges peut-être enneigée entre novembre et mai. Consultez les bulletins de neige pour connaître la météo actuelle.",1
3293,qu'est ce que SCORM,"SCORM, pour anglais : Sharable Content Object Reference Model, est un ensemble de standards et de spécifications utilisé pour les systèmes de formation en ligne, en général des learning management system ou LMS.",1
7677,Qui est Philippe Glass ?,"Philip Glass, né le 31 janvier 1937 à Baltimore dans le Maryland, est un musicien et compositeur de musique contemporaine américain. Il est considéré comme l'un des compositeurs les plus influents de la fin du XXe siècle. Il est l'un des pionniers et l'un des représentants les plus éminents de la musique minimaliste, notamment de l'école répétitive, et de la musique classique des États-Unis.

Il a composé des œuvres pour ensemble, des opéras, des symphonies, des concertos, des musiques de film et des œuvres pour soliste.",1
7394,"réponds a cette charade
Mon premier n'est pas haut....
 
Mon second c'est ce que portent les moutons sur eux.

Mon tout est un mammifère qui vit dans l'eau.","La réponse est baleine:
- Mon premier n'est pas haut : ""bas""
- Mon second c'est ce que portent les moutons sur eux : ""laine""
La baleine est un mammifère qui vit dans l'eau",1
1027,combien font 4+4+4,4+4+4 font 12,1
7614,"J'ai un caractère ""1"" qui est transformé en 49. Quelle est la table de correspondance utilisée ?","Si le caractère ""1"" a été encodé par la valeur 49 en décimal, la table de correspondance utilisée est probablement ASCII.",1
6118,Dis-moi qui siège au trône d'Angleterre ?,"Le monarque actuel est le roi Charles III, depuis le 8 septembre 2022 après la mort de sa mère Élisabeth II.",1
6686,"Qui à écrit ""L'insurrection qui vient ?""","""L'Insurrection qui vient"" est un essai politique publié en 2007 et rédigé par un « Comité invisible » qui est un groupe d'auteurs anonymes actifs en France.",1
1608,Quand a été mise en service le métro d'Athènes ?,La première ligne du métro d'Athènes a été mise en service le 27 février 1869,1
2664,combien d'heures sépare la france de la chine,"La différence d'heure entre la France et la Chine dépend de la période de l'année.
La Chine est à l'heure de Pékin (UTC+8).
Lorsque la France est à l'heure d'hiver (UTC+1), le décalage horaire est de 7 heures.
Lorsque la France est à l'heure d'été (UTC+2), le décalage horaire est de 6 heures.",1
1359,Alice a 4 soeurs et 1 frère. Combien de soeurs a le frère d’Alice ?,"Le frère d'Alice a 5 soeurs, Alice elle même plus leurs 4 autres soeurs.",1
1010,"Isabelle bénéficie d'un salaire mensuel net de 1500 euros. Son loyer s'élève à 280 euros tous les mois. Chaque trimestre, elle consacre 1300 euros à la nourriture. Sur une année, elle parvient à épargner 3600 euros. Sachant que tous les semestres, elle envoie 520 euros à sa famille, combien lui reste-t-il d'euros à la fin de chaque mois pour l'habillement et les loisirs ?","Il reste à Isabelle 400 euros à la fin de chaque mois pour l'habillement et les loisirs.
Annuellement, Isabelle gagne 18000 euros.
Elle dépense 280*12=3360 euros pour le loyer, 1300*4=5200 euros en nourriture, 3600 euros en épargne et 520*2=1040 euros pour sa famille.
Il lui reste donc 4800 euros par an pour l'habillement et les loisirs soit 400 euros par mois.",1
1080,Combien y'a t'il de lettres dans le mot alimentaires ?,"Il y a 12 lettres dans le mot ""alimentaires"".",1
1469,Quand a été creee la bastide de Monsegur en gironde,"La bastide de Monségur, située en Gironde, a été fondée en 1265 par Eléonore de Provence, épouse d’Henri III Plantagenêt, roi d’Angleterre et duc d’Aquitaine.",1
190,Combien d'habitants en France métropolitaine ?,"Au 1ᵉʳ janvier 2025, la France compte 68 606 000 habitants.",1
7135,Qui a inventé le Vendée globe ?,"Inspiré par le Golden Globe Challenge et le BOC Challenge, c'est le navigateur Philippe Jeantot qui crée le Vendée Globe. Cette course à la voile en solitaire autour du monde, sans escale et sans assistance, a ainsi été lancée pour la première fois le 26 novembre 1989.",1
4439,Qu’est ce que le mohair ?,"Le mohair est une fibre laineuse produite par la chèvre angora, légère et soyeuse.",1
6831,"Qu'est ce que la Gratte en Nouvelle Calédonie
","La ciguatera, aussi appelée la « gratte » en Nouvelle-Calédonie, est une intoxication alimentaire qui se manifeste après avoir mangé du poisson.",1
6816,Quel roi de France était cul-de-jatte ?,Aucun roi de France n'était cul-de-jatte.,1
