request_id,request,reference,reference_created
476368974337766528,quand les républicains ont-ils gagné le vote populaire pour la dernière fois,Les républicains ont gagné le vote populaire pour la dernière fois en 2004,1
-1836566113551085118,Quand est-ce que ça va être la marée haute,Il n'est pas possible de répondre à cette question sans informations supplémentaires sur le lieu et la date,1
-1881286304870722165,Dans combien d'états s'étendent les Montagnes Rocheuses ?,"Les Montagnes Rocheuses s'étendent sur 6 états américains (Montana, Idaho, Wyoming, Utah, Colorado, Nouveau-Mexique) et 2 provinces canadiennes (Colombie-Britannique, Alberta)",1
5540701807690820559,nommez un pays voisin de l'inde qui est une république,"Le Sri Lanka (aussi connu sous le nom de Ceylan, Taprobane ou Serendib) est un pays voisin de l'Inde qui est une république",1
-6991508190482400297,où va se dérouler la coupe du monde,"La prochaine Coupe du Monde de football se déroulera en 2026 dans 3 pays différents: les Etats-Unis, le Canada et le Mexique",1
7818112641371223126,quel est le nom du stade des arizona cardinals,Le stade des Arizona Cardinals est le State Farm Stadium,1
7960403399608384663,Quand est-ce que les Lakers ont fait les playoffs la dernière fois,Les Lakers ont fait les playoffs de la NBA pour la dernière fois en 2025,1
-721170466207849824,quand a été vue pour la dernière fois la comète de halley,La comète de Halley a été vue pour la dernière fois en 1986,1
-1623829653595228960,quels pays ne passent pas à l'heure d'été dans le monde ?,"La Chine, le Japon et l'Inde ne passent pas à l'heure d'été",1
5064534131928384032,d'où part le Danube et jusqu'ou va-t'il,Le Danube prend sa source en Allemagne et se jette dans la mer Noire en Roumanie,1
-1552631803764154645,Quand a eu lieu la guerre de sept ans ?,La guerre de Sept Ans a eu lieu de 1756 à 1763,1
234131699687376880,Qui produit le plus de pistaches dans le monde,Le plus grand producteur de pistache au monde est l'Iran,1
-5824018452742426380,qui joue sam dans le seigneur des anneaux,L'acteur qui joue Sam dans le Seigneur des Anneaux est Sean Astin,1
-2988239614127773899,Quel âge doit-on avoir pour boire en Angleterre ?,L'âge légal pour boire en Angleterre est de 18 ans,1
-3557268865091350602,quand est-ce que le samsung galaxy s8 est sorti,Le Samsung Galaxy S8 est sorti le 21 avril 2017,1
846466415522403319,quand michael jordan fut enrôlé à la nba,Michael Jordan a été sélectionné par les Chicago Bulls en 1984,1
-9075218135116230593,comment s'appellent les sept continents du monde,"Les sept continents du monde sont : l'Afrique, l'Antarctique, l'Asie, l'Europe, l'Amérique du Nord, l'Amérique du Sud et l'Océanie",1
-980836884486017537,Quel est l'immeuble le plus haut des États-Unis ?,L'immeuble le plus haut des États-Unis est le One World Trade Center,1
2024670146411870673,les sols gonflants s’étendent et se contractent en raison de changements dans quoi,Les changements d'humidité sont les principaux facteurs du gonflement et de la contraction des sols,1
6277735658261425592,d'où vient la phrase great scott,L'origine exacte de cette phrase n'est pas connue,1
724737885404663616,combien de grands requins blancs il y a dans le monde,On estime la population actuelle de requins blancs dans le monde à 3500 individus,1
4993232957540670980,Quand est-ce que Pâques a eu lieu pour la dernière fois un 12 avril,On estime la population actuelle de requins blancs dans le monde à 3500 individus,1
-4767536963343233422,qui a le plus de followers sur instagram,Le compte instagram avec le plus d'abonnés est celui de Cristiano Ronaldo,1
3309140698422618645,qui a gagné america's got talent en 2015,Le gagnant d'America's Got Talent en 2015 était Paul Zerdin,1
5703223611732539738,quelles sont les dimensions d'une feuille de papier,"Eu Europe, le format standard pour une feuille de papier est le format A4 (210 × 297 mm)",1
