conv_id,model_id,request_id,request,reference,context,hypothesis,filtered_hypothesis,revised_hypothesis,corrected_hypothesis,cor_score,ot_score,score
6,GPT-4o,-4766029169354683727,Qui interprète la chanson Love you like there's no tomorrow,Love Me Like There's No Tomorrow est une chanson de Freddie Mercury.,"""Love Me Like There's No Tomorrow"" est une chanson de Freddie Mercury, le chanteur du groupe Queen, sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy. Elle a été écrite par Mercury et produite par Reinhold Mack et Mercury.","La chanson ""Love You Like There's No Tomorrow"" est interprétée par Freddie Mercury, le célèbre chanteur du groupe Queen.

Cette chanson figure sur son album solo ""Mr. Bad Guy"", sorti en 1985. Elle est connue pour ses paroles émouvantes et son style pop-rock, mettant en valeur la voix puissante et expressive de Freddie Mercury.","La chanson ""Love You Like There's No Tomorrow"" est interprétée par Freddie Mercury, le chanteur du groupe Queen.

Cette chanson figure sur son album solo ""Mr. Bad Guy"", sorti en 1985.","La chanson ""Love Me Like There's No Tomorrow"" est interprétée par Freddie Mercury, le chanteur du groupe Queen.

Cette chanson figure sur son album solo ""Mr. Bad Guy"", sorti en 1985.","La chanson ""Love Me Like There's No Tomorrow"" est interprétée par Freddie Mercury.",146.15384615384613,74.19354838709677,323.0769230769231
7,Le Chat,-4766029169354683727,Qui interprète la chanson Love you like there's no tomorrow,Love Me Like There's No Tomorrow est une chanson de Freddie Mercury.,"""Love Me Like There's No Tomorrow"" est une chanson de Freddie Mercury, le chanteur du groupe Queen, sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy. Elle a été écrite par Mercury et produite par Reinhold Mack et Mercury.","La chanson ""Love on Top"" est interprétée par Beyoncé. Si vous faisiez référence à une autre chanson, pourriez-vous fournir plus de détails ?","Si vous faisiez référence à une autre chanson, pourriez-vous fournir plus de détails ?","La chanson ""Love Me Like There's No Tomorrow"" est interprétée par Freddie Mercury. Elle est sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy.","La chanson ""Love Me Like There's No Tomorrow"" est interprétée par Freddie Mercury. Elle est sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy.",96.96969696969697,69.23076923076923,78.78787878787878
8,DeepSeek,-4766029169354683727,Qui interprète la chanson Love you like there's no tomorrow,Love Me Like There's No Tomorrow est une chanson de Freddie Mercury.,"""Love Me Like There's No Tomorrow"" est une chanson de Freddie Mercury, le chanteur du groupe Queen, sortie en 1985 en tant que quatrième et dernier single de son premier album solo Mr. Bad Guy. Elle a été écrite par Mercury et produite par Reinhold Mack et Mercury.","La chanson *""Love You Like There's No Tomorrow""* est interprétée par **Freddie Mercury**, le légendaire chanteur du groupe **Queen**.  

Sortie en 1985, cette chanson fait partie de son premier album solo, *""Mr. Bad Guy""*. Elle est connue pour son émotion intense et sa mélodie puissante, caractéristiques du style vocal unique de Mercury.  

Si vous pensiez à une autre version ou reprise, faites-le-moi savoir ! 😊","La chanson *""Love You Like There's No Tomorrow""* est interprétée par **Freddie Mercury**, le légendaire chanteur du groupe **Queen**.

Sortie en 1985, cette chanson fait partie de son premier album solo, *""Mr. Bad Guy""*.

Si vous pensiez à une autre version ou reprise, faites-le-moi savoir ! 😊","La chanson *""Love Me Like There's No Tomorrow""* est interprétée par **Freddie Mercury**, le légendaire chanteur du groupe **Queen**.

Sortie en 1985, cette chanson fait partie de son premier album solo, *""Mr. Bad Guy""*.

Si vous pensiez à une autre version ou reprise, faites-le-moi savoir ! 😊","La chanson *""Love Me Like There's No Tomorrow""* est interprétée par **Freddie Mercury**, le légendaire chanteur du groupe **Queen**.

Sortie en 1985, cette chanson fait partie de son premier album solo, *""Mr. Bad Guy""*.

Si vous pensiez à une autre version ou reprise, faites-le-moi savoir ! 😊",2.1739130434782608,39.130434782608695,41.30434782608695
12,GPT-4o,7960403399608384663,Quand est-ce que les Lakers ont fait les playoffs la dernière fois,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025.,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025. Les Los Angeles Lakers ont été éliminés des playoffs par les Timberwolves du Minnesota au premier tour (1-4).,"Les Los Angeles Lakers ont fait les playoffs pour la dernière fois lors de la saison 2023-2024.

Détails :
Saison régulière : Les Lakers ont terminé avec un bilan de 47 victoires et 35 défaites.

Classement : 8e place de la Conférence Ouest.

Play-In Tournament : Ils ont battu les Pelicans pour obtenir la 7e place des playoffs.

Playoffs :

1er tour : Les Lakers ont été éliminés par les Denver Nuggets (champions en titre) en 5 matchs (1-4).

Donc, la dernière participation des Lakers aux playoffs remonte à avril 2024, pour la saison NBA 2023-2024.","Les Los Angeles Lakers ont fait les playoffs pour la dernière fois lors de la saison 2023-2024.

Détails :
Playoffs :

1er tour : Les Lakers ont été éliminés par les Denver Nuggets en 5 matchs (1-4).","Les Los Angeles Lakers ont fait les playoffs pour la dernière fois en 2025.

Détails :
Playoffs :

1er tour : Les Lakers ont été éliminés par les Timberwolves du Minnesota en 5 matchs (1-4).","Les Los Angeles Lakers ont fait les playoffs de la NBA pour la dernière fois en 2025.

Détails :
Playoffs :

1er tour : Les Lakers ont été éliminés par les Timberwolves du Minnesota en 5 matchs (1-4).",22.857142857142858,164.70588235294116,180.0
13,Le Chat,7960403399608384663,Quand est-ce que les Lakers ont fait les playoffs la dernière fois,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025.,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025. Les Los Angeles Lakers ont été éliminés des playoffs par les Timberwolves du Minnesota au premier tour (1-4).,L'équipe des Lakers de Los Angeles a participé aux playoffs NBA lors de la saison 2022-2023.,L'équipe des Lakers de Los Angeles a participé aux playoffs NBA.,"L'équipe des Lakers de Los Angeles a participé aux playoffs NBA pour la dernière fois en 2025, où elle a été éliminée au premier tour par les Timberwolves du Minnesota (1-4).","L'équipe des Lakers de Los Angeles a participé aux playoffs NBA pour la dernière fois en 2025, où elle a été éliminée au premier tour par les Timberwolves du Minnesota (1-4).",64.51612903225806,45.45454545454545,64.51612903225806
14,DeepSeek,7960403399608384663,Quand est-ce que les Lakers ont fait les playoffs la dernière fois,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025.,Les Los Angeles Lakers ont participés aux playoffs de la NBA pour la dernière fois en 2025. Les Los Angeles Lakers ont été éliminés des playoffs par les Timberwolves du Minnesota au premier tour (1-4).,"La dernière fois que les **Los Angeles Lakers** ont participé aux **playoffs**, c'était lors de la saison **2022-2023**.  

Ils ont atteint les **Finales de la Conférence Ouest**, où ils ont été éliminés par les **Denver Nuggets** (4-0).  

Depuis lors (saisons 2023-2024 et 2024-2025), les Lakers n'ont pas réussi à se qualifier pour les playoffs.  

Si tu veux une mise à jour plus récente, n'hésite pas à demander ! 🏀","La dernière fois que les **Los Angeles Lakers** ont participé aux **playoffs**, c'était lors de la saison **2022-2023**.  

Ils ont atteint les **Finales de la Conférence Ouest**, où ils ont été éliminés par les **Denver Nuggets** (4-0).  

Si tu veux une mise à jour plus récente, n'hésite pas à demander ! 🏀","La dernière fois que les **Los Angeles Lakers** ont participé aux **playoffs**, c'était en **2025**.

Ils ont été éliminés au **premier tour** par les **Timberwolves du Minnesota** (1-4).

Si tu veux une mise à jour plus récente, n'hésite pas à demander ! 🏀","La dernière fois que les **Los Angeles Lakers** ont participé aux **playoffs**, c'était en **2025**.

Ils ont été éliminés au **premier tour** par les **Timberwolves du Minnesota** (1-4).

Si tu veux une mise à jour plus récente, n'hésite pas à demander ! 🏀",47.61904761904761,33.33333333333333,85.71428571428571
54,GPT-4o,7818112641371223126,quel est le nom du stade des arizona cardinals,Le stade des Arizona Cardinals s'appelle le State Farm Stadium.,"Le stade de l'équipe de NFL des Arizona Cardinals s'appelle le State farm Stadium, il est situé à Glendale, Arizona. Ce stade était anciennement nommé University of Phoenix Stadium et les Arizona Cardinals y jouent depuis 2006.","Le stade des Arizona Cardinals s'appelle le State Farm Stadium. Il est situé à Glendale, en Arizona.

Ce stade était auparavant connu sous le nom de University of Phoenix Stadium avant de changer de nom en 2018.","Le stade des Arizona Cardinals s'appelle le State Farm Stadium. Il est situé à Glendale, en Arizona.

Ce stade était auparavant connu sous le nom de University of Phoenix Stadium.","Le stade des Arizona Cardinals s'appelle le State Farm Stadium. Il est situé à Glendale, en Arizona.

Ce stade était auparavant connu sous le nom de University of Phoenix Stadium.","Le stade des Arizona Cardinals s'appelle le State Farm Stadium. Il est situé à Glendale, en Arizona.

Ce stade était auparavant connu sous le nom de University of Phoenix Stadium.",0.0,23.333333333333332,23.333333333333332
55,Le Chat,7818112641371223126,quel est le nom du stade des arizona cardinals,Le stade des Arizona Cardinals s'appelle le State Farm Stadium.,"Le stade de l'équipe de NFL des Arizona Cardinals s'appelle le State farm Stadium, il est situé à Glendale, Arizona. Ce stade était anciennement nommé University of Phoenix Stadium et les Arizona Cardinals y jouent depuis 2006.",Le stade des Arizona Cardinals est le State Farm Stadium.,Le stade des Arizona Cardinals est le State Farm Stadium.,Le stade des Arizona Cardinals est le State Farm Stadium.,Le stade des Arizona Cardinals est le State Farm Stadium.,0.0,0.0,0.0
56,DeepSeek,7818112641371223126,quel est le nom du stade des arizona cardinals,Le stade des Arizona Cardinals s'appelle le State Farm Stadium.,"Le stade de l'équipe de NFL des Arizona Cardinals s'appelle le State farm Stadium, il est situé à Glendale, Arizona. Ce stade était anciennement nommé University of Phoenix Stadium et les Arizona Cardinals y jouent depuis 2006.","Le stade des **Arizona Cardinals** s'appelle le **State Farm Stadium**. Il est situé à Glendale, en Arizona, et a ouvert ses portes en 2006. Ce stade est également connu pour avoir accueilli plusieurs Super Bowls, dont le **Super Bowl XLII (2008), Super Bowl XLIX (2015) et Super Bowl LVII (2023)**.  

C'est un stade moderne avec un toit rétractable et une pelouse rétractable, ce qui le rend polyvalent pour les matchs de football américain et d'autres événements.","Le stade des **Arizona Cardinals** s'appelle le **State Farm Stadium**. Il est situé à Glendale, en Arizona, et a ouvert ses portes en 2006.","Le stade des **Arizona Cardinals** s'appelle le **State Farm Stadium**. Il est situé à Glendale, en Arizona, et les Arizona Cardinals y jouent depuis 2006.","Le stade des **Arizona Cardinals** s'appelle le **State Farm Stadium**. Il est situé à Glendale, en Arizona, et les Arizona Cardinals y jouent depuis 2006.",24.0,216.66666666666666,227.99999999999997
69,GPT-4o,3309140698422618645,qui a gagné america's got talent en 2015,Le gagnant d'America's Got Talent en 2015 était Paul Zerdin.,Paul Zerdin est un ventriloque et comédien britannique qui a remporté la saison 10 de l'émission America's Got Talent en 2015.,"Le gagnant de **America's Got Talent** en **2015** (saison 10) est **Paul Zerdin**, un **ventriloque** britannique.

Son style mêlait **humour**, **maîtrise technique** et **personnages de marionnettes** très expressifs, ce qui lui a permis de séduire à la fois le public et les juges. Il est devenu le deuxième ventriloque à remporter l’émission, après **Terry Fator** (saison 2).

Finalistes notables cette saison-là :

* Drew Lynch (humoriste bègue, très apprécié du public)
* Oz Pearlman (mentaliste)

Souhaites-tu un résumé de sa performance gagnante ou des infos sur ce qu'il est devenu ?","Le gagnant de **America's Got Talent** en **2015** (saison 10) est **Paul Zerdin**, un **ventriloque** britannique.
Souhaites-tu un résumé de sa performance gagnante ou des infos sur ce qu'il est devenu ?","Le gagnant de **America's Got Talent** en **2015** (saison 10) est **Paul Zerdin**, un **ventriloque** britannique.
Souhaites-tu un résumé de sa performance gagnante ou des infos sur ce qu'il est devenu ?","Le gagnant de **America's Got Talent** en **2015** (saison 10) est **Paul Zerdin**, un **ventriloque** britannique.
Souhaites-tu un résumé de sa performance gagnante ou des infos sur ce qu'il est devenu ?",0.0,187.09677419354838,187.09677419354838
